Distance (km),Vehicle Type,Fuel Type,Route Type,Time of Day,CO2 Emissions (g/km)
63,Bike,None,Urban,Afternoon,5
72,Bike,None,Rural,Morning,5
43,Bike,None,Urban,Afternoon,5
82,Bike,None,Rural,Morning,5
49,Bus,None,Rural,Afternoon,80
93,Bike,None,Rural,Morning,5
13,Bike,None,Urban,Afternoon,5
50,Bike,None,Rural,Evening,5
36,Car,Gasoline,Urban,Morning,180
54,Car,Gasoline,Rural,Evening,180
31,Bus,None,Urban,Afternoon,80
100,Bus,None,Urban,Morning,80
76,Bike,None,Urban,Afternoon,5
22,Bike,None,Urban,Evening,5
64,Bike,None,Rural,Evening,5
57,Car,Gasoline,Urban,Morning,180
76,Car,Gasoline,Urban,Morning,180
70,Bike,None,Rural,Morning,5
47,Bike,None,Rural,Morning,5
55,Bus,None,Urban,Afternoon,80
40,Bus,None,Rural,Evening,80
87,Bike,None,Urban,Afternoon,5
62,Bus,None,Rural,Afternoon,80
40,Bike,None,Urban,Afternoon,5
64,Car,Gasoline,Urban,Morning,180
36,Car,Gasoline,Rural,Evening,180
8,Bike,None,Urban,Evening,5
69,Bike,None,Rural,Afternoon,5
31,Bike,None,Rural,Afternoon,5
49,Bus,None,Urban,Afternoon,80
55,Bike,None,Rural,Morning,5
72,Bike,None,Urban,Evening,5
24,Car,Gasoline,Urban,Morning,180
45,Car,Gasoline,Urban,Evening,180
81,Bike,None,Urban,Afternoon,5
78,Bike,None,Urban,Evening,5
23,Bike,None,Urban,Afternoon,5
26,Bike,None,Urban,Evening,5
60,Bus,None,Rural,Afternoon,80
5,Bicycle,None,Rural,Evening,0
89,Car,Gasoline,Urban,Morning,180
81,Car,Gasoline,Urban,Morning,180
21,Car,Gasoline,Urban,Morning,180
100,Bus,None,Urban,Afternoon,80
62,Car,Gasoline,Urban,Morning,180
38,Car,Gasoline,Rural,Evening,180
41,Car,Gasoline,Urban,Evening,180
42,Car,Gasoline,Rural,Evening,180
27,Bike,None,Rural,Afternoon,5
81,Bike,None,Rural,Afternoon,5
44,Bike,None,Urban,Evening,5
18,Car,Gasoline,Urban,Morning,180
7,Bicycle,None,Rural,Evening,0
41,Bicycle,None,Urban,Evening,0
71,Bus,None,Rural,Afternoon,80
35,Car,Gasoline,Urban,Morning,180
34,Bike,None,Rural,Morning,5
10,Bike,None,Urban,Morning,5
71,Car,Gasoline,Urban,Morning,180
99,Bus,None,Rural,Morning,80
34,Bus,None,Rural,Evening,80
87,Bus,None,Rural,Evening,80
60,Bus,None,Rural,Evening,80
57,Bus,None,Rural,Evening,80
8,Bicycle,None,Rural,Evening,0
94,Bicycle,None,Urban,Evening,0
37,Bicycle,None,Urban,Evening,0
94,Bike,None,Urban,Afternoon,5
31,Car,Gasoline,Urban,Morning,180
12,Bike,None,Urban,Evening,5
6,Bicycle,None,Rural,Evening,0
67,Bike,None,Rural,Morning,5
28,Bike,None,Rural,Afternoon,5
91,Bike,None,Rural,Evening,5
57,Car,Gasoline,Urban,Morning,180
19,Bus,None,Urban,Afternoon,80
85,Bus,None,Urban,Evening,80
39,Bus,None,Rural,Evening,80
22,Car,Gasoline,Urban,Morning,180
3,Walking,None,Rural,Afternoon,0
80,Walking,None,Urban,Evening,0
74,Bike,None,Rural,Morning,5
62,Bike,None,Rural,Morning,5
12,Bike,None,Urban,Morning,5
17,Bus,None,Rural,Afternoon,80
21,Bike,None,Rural,Morning,5
86,Bike,None,Urban,Afternoon,5
73,Car,Gasoline,Urban,Morning,180
22,Bike,None,Rural,Morning,5
25,Car,Gasoline,Urban,Morning,180
17,Bus,None,Rural,Afternoon,80
86,Bus,None,Urban,Afternoon,80
35,Bus,None,Urban,Evening,80
77,Bus,None,Rural,Afternoon,80
7,Bicycle,None,Urban,Afternoon,0
48,Bike,None,Rural,Morning,5
63,Bike,None,Urban,Afternoon,5
67,Bike,None,Urban,Afternoon,5
96,Bus,None,Rural,Morning,80
64,Bike,None,Rural,Morning,5
66,Car,Gasoline,Urban,Morning,180
48,Bike,None,Rural,Morning,5
78,Bike,None,Rural,Evening,5
96,Bus,None,Rural,Morning,80
95,Bus,None,Urban,Afternoon,80
76,Bus,None,Urban,Evening,80
29,Bus,None,Rural,Evening,80
24,Bus,None,Urban,Evening,80
25,Bike,None,Rural,Afternoon,5
10,Bicycle,None,Rural,Morning,0
4,Bicycle,None,Rural,Evening,0
81,Bicycle,None,Urban,Evening,0
23,Bike,None,Rural,Morning,5
82,Bike,None,Rural,Morning,5
67,Bike,None,Rural,Evening,5
64,Bike,None,Rural,Afternoon,5
39,Bike,None,Rural,Evening,5
72,Bike,None,Urban,Evening,5
25,Bike,None,Urban,Evening,5
26,Bike,None,Rural,Afternoon,5
87,Car,Gasoline,Urban,Morning,180
61,Bus,None,Rural,Afternoon,80
52,Bus,None,Rural,Evening,80
79,Bus,None,Rural,Evening,80
32,Bike,None,Rural,Morning,5
92,Bike,None,Rural,Morning,5
14,Bike,None,Rural,Afternoon,5
48,Bike,None,Urban,Evening,5
19,Car,Gasoline,Urban,Morning,180
26,Car,Gasoline,Urban,Evening,180
95,Bike,None,Rural,Morning,5
71,Bike,None,Rural,Evening,5
96,Bus,None,Rural,Afternoon,80
32,Bike,None,Urban,Afternoon,5
98,Bus,None,Urban,Morning,80
72,Bike,None,Urban,Afternoon,5
45,Bike,None,Urban,Evening,5
62,Bike,None,Urban,Evening,5
61,Bike,None,Rural,Morning,5
71,Bus,None,Urban,Afternoon,80
57,Bike,None,Rural,Morning,5
39,Car,Gasoline,Urban,Morning,180
93,Bus,None,Urban,Afternoon,80
56,Bike,None,Rural,Morning,5
81,Bike,None,Rural,Evening,5
28,Car,Gasoline,Urban,Morning,180
72,Car,Gasoline,Urban,Evening,180
83,Car,Gasoline,Urban,Morning,180
2,Walking,None,Urban,Afternoon,0
39,Walking,None,Rural,Evening,0
80,Walking,None,Rural,Evening,0
19,Car,Gasoline,Urban,Morning,180
26,Car,Gasoline,Rural,Evening,180
32,Bus,None,Rural,Afternoon,80
36,Bus,None,Urban,Evening,80
92,Bus,None,Urban,Afternoon,80
91,Bus,None,Urban,Evening,80
58,Bus,None,Urban,Evening,80
96,Bus,None,Urban,Afternoon,80
96,Bus,None,Rural,Evening,80
68,Bike,None,Rural,Morning,5
9,Bike,None,Urban,Morning,5
6,Bicycle,None,Urban,Morning,0
47,Bike,None,Rural,Morning,5
50,Car,Gasoline,Urban,Morning,180
3,Walking,None,Urban,Morning,0
35,Car,Gasoline,Urban,Morning,180
35,Car,Gasoline,Urban,Morning,180
43,Bike,None,Rural,Morning,5
19,Bus,None,Urban,Afternoon,80
23,Bus,None,Rural,Evening,80
68,Bus,None,Urban,Evening,80
28,Bike,None,Rural,Morning,5
18,Bike,None,Urban,Afternoon,5
59,Bike,None,Rural,Morning,5
73,Bus,None,Rural,Afternoon,80
43,Bus,None,Rural,Evening,80
17,Bike,None,Urban,Afternoon,5
43,Bus,None,Urban,Afternoon,80
61,Bike,None,Rural,Afternoon,5
5,Bicycle,None,Rural,Afternoon,0
62,Bike,None,Rural,Afternoon,5
38,Bike,None,Rural,Afternoon,5
65,Bike,None,Rural,Morning,5
55,Bike,None,Urban,Afternoon,5
83,Bus,None,Rural,Afternoon,80
61,Bus,None,Urban,Evening,80
53,Bus,None,Urban,Evening,80
81,Car,Gasoline,Urban,Morning,180
58,Bike,None,Rural,Morning,5
19,Bike,None,Rural,Morning,5
97,Bus,None,Urban,Afternoon,80
91,Bus,None,Rural,Afternoon,80
12,Bike,None,Urban,Afternoon,5
87,Bus,None,Urban,Afternoon,80
53,Bike,None,Rural,Morning,5
9,Bicycle,None,Rural,Morning,0
71,Bus,None,Rural,Afternoon,80
16,Bus,None,Urban,Evening,80
28,Bus,None,Urban,Afternoon,80
48,Bus,None,Rural,Evening,80
62,Bus,None,Urban,Evening,80
7,Bicycle,None,Rural,Evening,0
45,Bus,None,Urban,Afternoon,80
95,Bike,None,Rural,Morning,5
13,Bike,None,Rural,Evening,5
86,Bike,None,Urban,Evening,5
84,Bike,None,Rural,Morning,5
7,Bicycle,None,Urban,Evening,0
72,Car,Gasoline,Urban,Morning,180
98,Bus,None,Rural,Evening,80
8,Bike,None,Urban,Afternoon,5
57,Bike,None,Urban,Afternoon,5
